id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
32597,VTCI,small_airport,Pai Airport,19.372,98.436996,1676,AS,Thailand,TH,Mae Hong Son Province,TH-58,58,Pai,0,VTCI,PYY,,,http://en.wikipedihttp://en.wikipedia.org/wiki/Pai_Airporta.org/wiki/Pai_Airport,Pai Airport,50,2022-12-24T18:49:09+00:00
26689,VTUW,medium_airport,Nakhon Phanom Airport,17.383801,104.642998,587,AS,Thailand,TH,Nakhon Phanom Province,TH-48,48,Nakhon Phanom,1,VTUW,KOP,,,https://en.wikipedia.org/wiki/Nakhon_Phanom_Airport,,750,2022-11-10T14:31:28+00:00
26667,VTSE,medium_airport,Chumphon Airport,10.7112,99.361702,18,AS,Thailand,TH,Chumphon Province,TH-86,86,Chumphon,1,VTSE,CJM,,,https://en.wikipedia.org/wiki/Chumphon_Airport,,500,2022-06-06T05:32:33+00:00
26685,VTUQ,medium_airport,Nakhon Ratchasima Airport,14.9495,102.313004,765,AS,Thailand,TH,Nakhon Ratchasima Province,TH-30,30,Chaloem Phra Kiat,0,VTUQ,NAK,,,https://en.wikipedia.org/wiki/Nakhon_Ratchasima_Airport,,400,2021-01-21T15:01:17+00:00
26656,VTPI,medium_airport,Takhli Airport,15.27729988,100.2959976,107,AS,Thailand,TH,Nakhon Sawan Province,TH-60,60,,0,VTPI,TKH,,,https://en.wikipedia.org/wiki/Takhli_Royal_Thai_Air_Force_Base,,325,2012-06-20T22:11:51+00:00
302324,TH-0001,small_airport,Eastern Flying Club Airport,12.902439,100.933227,160,AS,Thailand,TH,Chonburi Province,TH-20,20,Pattaya (Bang Lamung),0,,,EFC,http://www.thaiflyingclub.com/linkairporteastern.html,,Jims,50,2022-09-04T13:15:01+00:00
32602,VTPR,small_airport,Photharam Airport,13.66860008,99.73139954,88,AS,Thailand,TH,Ratchaburi Province,TH-70,70,Photharam,0,VTPR,,,,,,50,2008-08-03T11:51:34+00:00
26682,VTUL,medium_airport,Loei Airport,17.43910027,101.7220001,860,AS,Thailand,TH,Loei Province,TH-42,42,,1,VTUL,LOE,,,https://en.wikipedia.org/wiki/Loei_Airport,,750,2008-06-13T14:30:04+00:00
26688,VTUV,medium_airport,Roi Et Airport,16.11680031,103.7740021,451,AS,Thailand,TH,Roi Et Province,TH-45,45,,1,VTUV,ROI,,,https://en.wikipedia.org/wiki/Roi_Et_Airport,,750,2008-06-13T14:30:04+00:00
26679,VTUI,medium_airport,Sakon Nakhon Airport,17.19510078,104.1190033,529,AS,Thailand,TH,Sakon Nakhon Province,TH-47,47,,1,VTUI,SNO,,,https://en.wikipedia.org/wiki/Sakon_Nakhon_Airport,,750,2008-06-13T14:30:04+00:00
26649,VTCL,medium_airport,Lampang Airport,18.27090073,99.5042038,811,AS,Thailand,TH,Lampang Province,TH-52,52,,1,VTCL,LPT,,,https://en.wikipedia.org/wiki/Lampang_Airport,,750,2008-06-13T14:30:04+00:00
26650,VTCN,medium_airport,Nan Airport,18.80789948,100.7829971,685,AS,Thailand,TH,Nan Province,TH-55,55,,1,VTCN,NNT,,,https://en.wikipedia.org/wiki/Nan_Airport,,750,2008-06-13T14:30:04+00:00
26668,VTSF,medium_airport,Nakhon Si Thammarat Airport,8.539620399,99.94470215,13,AS,Thailand,TH,Nakhon Si Thammarat Province,TH-80,80,Nakhon Si Thammarat,1,VTSF,NST,,,https://en.wikipedia.org/wiki/Nakhon_Si_Thammarat_Airport,ท่าอากาศยานนกE��ศรีธรรมรากE750,2009-03-16T07:52:20+00:00,
26675,VTSR,medium_airport,Ranong Airport,9.77762,98.585503,57,AS,Thailand,TH,Ranong Province,TH-85,85,Ranong,1,VTSR,UNN,,,https://en.wikipedia.org/wiki/Ranong_Airport,,750,2022-08-03T13:22:16+00:00
26654,VTPB,medium_airport,Phetchabun Airport,16.6760006,101.1949997,450,AS,Thailand,TH,Phetchabun Province,TH-67,67,,1,VTPB,PHY,,,https://en.wikipedia.org/wiki/Phetchabun_Airport,,500,2012-03-11T10:12:51+00:00
26662,VTPT,medium_airport,Tak Airport,16.89599991,99.25330353,478,AS,Thailand,TH,Tak Province,TH-63,63,,0,VTPT,TKT,,,,,275,2008-06-13T14:30:04+00:00
26642,VTBL,medium_airport,Khok Kathiam Airport,14.87460041,100.663002,123,AS,Thailand,TH,Lopburi Province,TH-16,16,,0,VTBL,,,,,,250,2012-11-22T08:35:29+00:00
308758,TH-0003,small_airport,Klong 15 Airfield,14.114705,100.949485,15,AS,Thailand,TH,Nakhon Nayok Province,TH-26,26,,0,,,,,,,50,2022-09-04T13:37:20+00:00
354704,TH-0024,small_airport,Vanchanphen Airpark,13.94495,102.00432,,AS,Thailand,TH,Sa Kaeo Province,TH-27,27,,0,,,,,,,50,2022-05-30T07:11:06+00:00
354711,VTCY,small_airport,Nok Airfield,18.6762,99.11157,,AS,Thailand,TH,Chiang Mai Province,TH-50,50,,0,VTCY,,,http://nokaviation.com,,,50,2022-05-30T07:34:35+00:00
